dataset_kind,dataset_id,dataset_slug,dataset_name,record_kind,country_code,country_name,disease_id,disease_name_en,disease_name_zh,category,date,year_month,value,cases,weekly_equiv_cases,deaths,incidence_rate_per_100k,incidence_rate_source,mortality_rate,series_code,source_series_code,source_system,source_label,metric_type,reporting_basis,temporal_granularity,unit,geography_key,dimension_key,mapping_relation,comparability,aggregation_policy,availability_status,missing_value_policy,definition_version,case_definition,case_definition_uri,quality_status,is_selected_series,data_layer,projection_policy,coverage_status,loss_risk,selected_series_codes,available_series_count,provenance_note,primary_source_scope,primary_source_label,primary_source_url,primary_source_type,source_scopes,source_labels,source_urls,source_types
disease,D232,infectious-syphilis-under-two-years-duration,Infectious syphilis under two years duration,public_projection,AU,Australia,D232,Infectious syphilis under two years duration,病程不足两年的感染性梅毒,Bacterial,2020-01-01,2020-01,558,558,,,2.167512935449173,wpp_computed,,SER_AU_SYPHILIS_INFECTIOUS_LT2Y,,,,,,monthly,,,,,,,,,,,,,,series_registry,single_series,parity,,SER_AU_SYPHILIS_INFECTIOUS_LT2Y,1,The public curve is read directly from one registered source series.,all,Australia NINDSS,https://www.health.gov.au/topics/national-notifiable-diseases-surveillance-system-nndss,microsoft_bi,all,Australia NINDSS,https://www.health.gov.au/topics/national-notifiable-diseases-surveillance-system-nndss,microsoft_bi
disease,D232,infectious-syphilis-under-two-years-duration,Infectious syphilis under two years duration,source_series_observation,AU,Australia,D232,Infectious syphilis under two years duration,病程不足两年的感染性梅毒,Bacterial,2020-01-01,2020-01,558,558,,,,,,SER_AU_SYPHILIS_INFECTIOUS_LT2Y,SER_AU_SYPHILIS_INFECTIOUS_LT2Y,SRC_AU_NINDSS,Syphilis < 2 years,case_notifications,notification,monthly,count,country:AU:national,all,exact,unknown,non_additive,active,missing_is_unknown,globalid-disease-ontology:2026.08.30.1,Australia NINDSS infectious syphilis with reported duration under two years.,,provisional; raw,True,series_registry,single_series,parity,,SER_AU_SYPHILIS_INFECTIOUS_LT2Y,1,The public curve is read directly from one registered source series.,all,Australia NINDSS,https://www.health.gov.au/topics/national-notifiable-diseases-surveillance-system-nndss,microsoft_bi,all,Australia NINDSS,https://www.health.gov.au/topics/national-notifiable-diseases-surveillance-system-nndss,microsoft_bi
disease,D232,infectious-syphilis-under-two-years-duration,Infectious syphilis under two years duration,public_projection,AU,Australia,D232,Infectious syphilis under two years duration,病程不足两年的感染性梅毒,Bacterial,2020-02-01,2020-02,481,481,,,1.868411688084323,wpp_computed,,SER_AU_SYPHILIS_INFECTIOUS_LT2Y,,,,,,monthly,,,,,,,,,,,,,,series_registry,single_series,parity,,SER_AU_SYPHILIS_INFECTIOUS_LT2Y,1,The public curve is read directly from one registered source series.,all,Australia NINDSS,https://www.health.gov.au/topics/national-notifiable-diseases-surveillance-system-nndss,microsoft_bi,all,Australia NINDSS,https://www.health.gov.au/topics/national-notifiable-diseases-surveillance-system-nndss,microsoft_bi
disease,D232,infectious-syphilis-under-two-years-duration,Infectious syphilis under two years duration,source_series_observation,AU,Australia,D232,Infectious syphilis under two years duration,病程不足两年的感染性梅毒,Bacterial,2020-02-01,2020-02,481,481,,,,,,SER_AU_SYPHILIS_INFECTIOUS_LT2Y,SER_AU_SYPHILIS_INFECTIOUS_LT2Y,SRC_AU_NINDSS,Syphilis < 2 years,case_notifications,notification,monthly,count,country:AU:national,all,exact,unknown,non_additive,active,missing_is_unknown,globalid-disease-ontology:2026.08.30.1,Australia NINDSS infectious syphilis with reported duration under two years.,,provisional; raw,True,series_registry,single_series,parity,,SER_AU_SYPHILIS_INFECTIOUS_LT2Y,1,The public curve is read directly from one registered source series.,all,Australia NINDSS,https://www.health.gov.au/topics/national-notifiable-diseases-surveillance-system-nndss,microsoft_bi,all,Australia NINDSS,https://www.health.gov.au/topics/national-notifiable-diseases-surveillance-system-nndss,microsoft_bi
disease,D232,infectious-syphilis-under-two-years-duration,Infectious syphilis under two years duration,public_projection,AU,Australia,D232,Infectious syphilis under two years duration,病程不足两年的感染性梅毒,Bacterial,2020-03-01,2020-03,493,493,,,1.9150248694918321,wpp_computed,,SER_AU_SYPHILIS_INFECTIOUS_LT2Y,,,,,,monthly,,,,,,,,,,,,,,series_registry,single_series,parity,,SER_AU_SYPHILIS_INFECTIOUS_LT2Y,1,The public curve is read directly from one registered source series.,all,Australia NINDSS,https://www.health.gov.au/topics/national-notifiable-diseases-surveillance-system-nndss,microsoft_bi,all,Australia NINDSS,https://www.health.gov.au/topics/national-notifiable-diseases-surveillance-system-nndss,microsoft_bi
disease,D232,infectious-syphilis-under-two-years-duration,Infectious syphilis under two years duration,source_series_observation,AU,Australia,D232,Infectious syphilis under two years duration,病程不足两年的感染性梅毒,Bacterial,2020-03-01,2020-03,493,493,,,,,,SER_AU_SYPHILIS_INFECTIOUS_LT2Y,SER_AU_SYPHILIS_INFECTIOUS_LT2Y,SRC_AU_NINDSS,Syphilis < 2 years,case_notifications,notification,monthly,count,country:AU:national,all,exact,unknown,non_additive,active,missing_is_unknown,globalid-disease-ontology:2026.08.30.1,Australia NINDSS infectious syphilis with reported duration under two years.,,provisional; raw,True,series_registry,single_series,parity,,SER_AU_SYPHILIS_INFECTIOUS_LT2Y,1,The public curve is read directly from one registered source series.,all,Australia NINDSS,https://www.health.gov.au/topics/national-notifiable-diseases-surveillance-system-nndss,microsoft_bi,all,Australia NINDSS,https://www.health.gov.au/topics/national-notifiable-diseases-surveillance-system-nndss,microsoft_bi
disease,D232,infectious-syphilis-under-two-years-duration,Infectious syphilis under two years duration,public_projection,AU,Australia,D232,Infectious syphilis under two years duration,病程不足两年的感染性梅毒,Bacterial,2020-04-01,2020-04,402,402,,,1.5615415771515546,wpp_computed,,SER_AU_SYPHILIS_INFECTIOUS_LT2Y,,,,,,monthly,,,,,,,,,,,,,,series_registry,single_series,parity,,SER_AU_SYPHILIS_INFECTIOUS_LT2Y,1,The public curve is read directly from one registered source series.,all,Australia NINDSS,https://www.health.gov.au/topics/national-notifiable-diseases-surveillance-system-nndss,microsoft_bi,all,Australia NINDSS,https://www.health.gov.au/topics/national-notifiable-diseases-surveillance-system-nndss,microsoft_bi
disease,D232,infectious-syphilis-under-two-years-duration,Infectious syphilis under two years duration,source_series_observation,AU,Australia,D232,Infectious syphilis under two years duration,病程不足两年的感染性梅毒,Bacterial,2020-04-01,2020-04,402,402,,,,,,SER_AU_SYPHILIS_INFECTIOUS_LT2Y,SER_AU_SYPHILIS_INFECTIOUS_LT2Y,SRC_AU_NINDSS,Syphilis < 2 years,case_notifications,notification,monthly,count,country:AU:national,all,exact,unknown,non_additive,active,missing_is_unknown,globalid-disease-ontology:2026.08.30.1,Australia NINDSS infectious syphilis with reported duration under two years.,,provisional; raw,True,series_registry,single_series,parity,,SER_AU_SYPHILIS_INFECTIOUS_LT2Y,1,The public curve is read directly from one registered source series.,all,Australia NINDSS,https://www.health.gov.au/topics/national-notifiable-diseases-surveillance-system-nndss,microsoft_bi,all,Australia NINDSS,https://www.health.gov.au/topics/national-notifiable-diseases-surveillance-system-nndss,microsoft_bi
disease,D232,infectious-syphilis-under-two-years-duration,Infectious syphilis under two years duration,public_projection,AU,Australia,D232,Infectious syphilis under two years duration,病程不足两年的感染性梅毒,Bacterial,2020-05-01,2020-05,474,474,,,1.8412206655966092,wpp_computed,,SER_AU_SYPHILIS_INFECTIOUS_LT2Y,,,,,,monthly,,,,,,,,,,,,,,series_registry,single_series,parity,,SER_AU_SYPHILIS_INFECTIOUS_LT2Y,1,The public curve is read directly from one registered source series.,all,Australia NINDSS,https://www.health.gov.au/topics/national-notifiable-diseases-surveillance-system-nndss,microsoft_bi,all,Australia NINDSS,https://www.health.gov.au/topics/national-notifiable-diseases-surveillance-system-nndss,microsoft_bi
disease,D232,infectious-syphilis-under-two-years-duration,Infectious syphilis under two years duration,source_series_observation,AU,Australia,D232,Infectious syphilis under two years duration,病程不足两年的感染性梅毒,Bacterial,2020-05-01,2020-05,474,474,,,,,,SER_AU_SYPHILIS_INFECTIOUS_LT2Y,SER_AU_SYPHILIS_INFECTIOUS_LT2Y,SRC_AU_NINDSS,Syphilis < 2 years,case_notifications,notification,monthly,count,country:AU:national,all,exact,unknown,non_additive,active,missing_is_unknown,globalid-disease-ontology:2026.08.30.1,Australia NINDSS infectious syphilis with reported duration under two years.,,provisional; raw,True,series_registry,single_series,parity,,SER_AU_SYPHILIS_INFECTIOUS_LT2Y,1,The public curve is read directly from one registered source series.,all,Australia NINDSS,https://www.health.gov.au/topics/national-notifiable-diseases-surveillance-system-nndss,microsoft_bi,all,Australia NINDSS,https://www.health.gov.au/topics/national-notifiable-diseases-surveillance-system-nndss,microsoft_bi
disease,D232,infectious-syphilis-under-two-years-duration,Infectious syphilis under two years duration,public_projection,AU,Australia,D232,Infectious syphilis under two years duration,病程不足两年的感染性梅毒,Bacterial,2020-06-01,2020-06,445,445,,,1.7285721438617956,wpp_computed,,SER_AU_SYPHILIS_INFECTIOUS_LT2Y,,,,,,monthly,,,,,,,,,,,,,,series_registry,single_series,parity,,SER_AU_SYPHILIS_INFECTIOUS_LT2Y,1,The public curve is read directly from one registered source series.,all,Australia NINDSS,https://www.health.gov.au/topics/national-notifiable-diseases-surveillance-system-nndss,microsoft_bi,all,Australia NINDSS,https://www.health.gov.au/topics/national-notifiable-diseases-surveillance-system-nndss,microsoft_bi
disease,D232,infectious-syphilis-under-two-years-duration,Infectious syphilis under two years duration,source_series_observation,AU,Australia,D232,Infectious syphilis under two years duration,病程不足两年的感染性梅毒,Bacterial,2020-06-01,2020-06,445,445,,,,,,SER_AU_SYPHILIS_INFECTIOUS_LT2Y,SER_AU_SYPHILIS_INFECTIOUS_LT2Y,SRC_AU_NINDSS,Syphilis < 2 years,case_notifications,notification,monthly,count,country:AU:national,all,exact,unknown,non_additive,active,missing_is_unknown,globalid-disease-ontology:2026.08.30.1,Australia NINDSS infectious syphilis with reported duration under two years.,,provisional; raw,True,series_registry,single_series,parity,,SER_AU_SYPHILIS_INFECTIOUS_LT2Y,1,The public curve is read directly from one registered source series.,all,Australia NINDSS,https://www.health.gov.au/topics/national-notifiable-diseases-surveillance-system-nndss,microsoft_bi,all,Australia NINDSS,https://www.health.gov.au/topics/national-notifiable-diseases-surveillance-system-nndss,microsoft_bi
