dataset_kind,dataset_id,dataset_slug,dataset_name,country_code,country_name,disease_id,disease_name_en,disease_name_zh,category,date,year_month,cases,weekly_equiv_cases,deaths,incidence_rate_per_100k,incidence_rate_source,mortality_rate,coverage_start,coverage_end,generated_at,primary_source_scope,primary_source_label,primary_source_url,primary_source_type,source_scopes,source_labels,source_urls,source_types
disease,D135,bacterial-meningitis,Bacterial meningitis,BR,Brazil,D135,Bacterial meningitis,细菌性脑膜炎,Bacterial,2007-01-01,2007-01,3620,817.4193548387098,0,,missing_population,,2007-01-01,2026-05-01,2026-06-01T00:00:00+00:00,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc
disease,D135,bacterial-meningitis,Bacterial meningitis,BR,Brazil,D135,Bacterial meningitis,细菌性脑膜炎,Bacterial,2007-02-01,2007-02,2866,647.1612903225806,0,,missing_population,,2007-01-01,2026-05-01,2026-06-01T00:00:00+00:00,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc
disease,D135,bacterial-meningitis,Bacterial meningitis,BR,Brazil,D135,Bacterial meningitis,细菌性脑膜炎,Bacterial,2007-03-01,2007-03,3916,979.0,0,,missing_population,,2007-01-01,2026-05-01,2026-06-01T00:00:00+00:00,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc
disease,D135,bacterial-meningitis,Bacterial meningitis,BR,Brazil,D135,Bacterial meningitis,细菌性脑膜炎,Bacterial,2007-04-01,2007-04,3937,889.0,0,,missing_population,,2007-01-01,2026-05-01,2026-06-01T00:00:00+00:00,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc
disease,D135,bacterial-meningitis,Bacterial meningitis,BR,Brazil,D135,Bacterial meningitis,细菌性脑膜炎,Bacterial,2007-05-01,2007-05,3437,801.9666666666667,0,,missing_population,,2007-01-01,2026-05-01,2026-06-01T00:00:00+00:00,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc
disease,D135,bacterial-meningitis,Bacterial meningitis,BR,Brazil,D135,Bacterial meningitis,细菌性脑膜炎,Bacterial,2007-06-01,2007-06,2977,672.2258064516129,0,,missing_population,,2007-01-01,2026-05-01,2026-06-01T00:00:00+00:00,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc
disease,D135,bacterial-meningitis,Bacterial meningitis,BR,Brazil,D135,Bacterial meningitis,细菌性脑膜炎,Bacterial,2007-07-01,2007-07,3031,707.2333333333333,0,,missing_population,,2007-01-01,2026-05-01,2026-06-01T00:00:00+00:00,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc
disease,D135,bacterial-meningitis,Bacterial meningitis,BR,Brazil,D135,Bacterial meningitis,细菌性脑膜炎,Bacterial,2007-08-01,2007-08,3158,713.0967741935484,0,,missing_population,,2007-01-01,2026-05-01,2026-06-01T00:00:00+00:00,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc
disease,D135,bacterial-meningitis,Bacterial meningitis,BR,Brazil,D135,Bacterial meningitis,细菌性脑膜炎,Bacterial,2007-09-01,2007-09,3247,733.1935483870967,0,,missing_population,,2007-01-01,2026-05-01,2026-06-01T00:00:00+00:00,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc
disease,D135,bacterial-meningitis,Bacterial meningitis,BR,Brazil,D135,Bacterial meningitis,细菌性脑膜炎,Bacterial,2007-10-01,2007-10,4192,978.1333333333332,0,,missing_population,,2007-01-01,2026-05-01,2026-06-01T00:00:00+00:00,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc
