dataset_kind,dataset_id,dataset_slug,dataset_name,country_code,country_name,disease_id,disease_name_en,disease_name_zh,category,date,year_month,cases,weekly_equiv_cases,deaths,incidence_rate_per_100k,incidence_rate_source,mortality_rate,coverage_start,coverage_end,generated_at,primary_source_scope,primary_source_label,primary_source_url,primary_source_type,source_scopes,source_labels,source_urls,source_types
disease,D046,filariasis,Filariasis,CN,China,D046,Filariasis,丝虫病,Parasitic,2010-01-01,2010-01,0,0.0,0,0.0,wpp_computed,,2010-01-01,2026-02-01,2026-03-21T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D046,filariasis,Filariasis,CN,China,D046,Filariasis,丝虫病,Parasitic,2010-02-01,2010-02,0,0.0,0,0.0,wpp_computed,,2010-01-01,2026-02-01,2026-03-21T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D046,filariasis,Filariasis,CN,China,D046,Filariasis,丝虫病,Parasitic,2010-03-01,2010-03,0,0.0,0,0.0,wpp_computed,,2010-01-01,2026-02-01,2026-03-21T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D046,filariasis,Filariasis,CN,China,D046,Filariasis,丝虫病,Parasitic,2010-04-01,2010-04,0,0.0,0,0.0,wpp_computed,,2010-01-01,2026-02-01,2026-03-21T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D046,filariasis,Filariasis,CN,China,D046,Filariasis,丝虫病,Parasitic,2010-05-01,2010-05,0,0.0,0,0.0,wpp_computed,,2010-01-01,2026-02-01,2026-03-21T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D046,filariasis,Filariasis,CN,China,D046,Filariasis,丝虫病,Parasitic,2010-06-01,2010-06,0,0.0,0,0.0,wpp_computed,,2010-01-01,2026-02-01,2026-03-21T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D046,filariasis,Filariasis,CN,China,D046,Filariasis,丝虫病,Parasitic,2010-07-01,2010-07,0,0.0,0,0.0,wpp_computed,,2010-01-01,2026-02-01,2026-03-21T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D046,filariasis,Filariasis,CN,China,D046,Filariasis,丝虫病,Parasitic,2010-08-01,2010-08,0,0.0,0,0.0,wpp_computed,,2010-01-01,2026-02-01,2026-03-21T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D046,filariasis,Filariasis,CN,China,D046,Filariasis,丝虫病,Parasitic,2010-09-01,2010-09,0,0.0,0,0.0,wpp_computed,,2010-01-01,2026-02-01,2026-03-21T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D046,filariasis,Filariasis,CN,China,D046,Filariasis,丝虫病,Parasitic,2010-10-01,2010-10,0,0.0,0,0.0,wpp_computed,,2010-01-01,2026-02-01,2026-03-21T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D046,filariasis,Filariasis,CN,China,D046,Filariasis,丝虫病,Parasitic,2010-11-01,2010-11,0,0.0,0,0.0,wpp_computed,,2010-01-01,2026-02-01,2026-03-21T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
